Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3,P1UDT882LV.1,P1UDT882LV.2,P1UDM3853.1,P1UDM3853.2,P1ULV4110.1,P1ULV4110.2,P1UDT883LV.1,P1UDT883LV.2,P1UDM3854.1,P1UDM3854.2,P1ULV4111.1,P1UDT884LV.1,P1UDT884LV.2,P1UDM3856.1,P1UDM3856.2,P1UDT893LV.1,P1UDT893LV.2,P1ULV4136.1,P1UDM3883.1,P1UDM3883.2,P1ULV4137.2,P1UDT894LV.1,P1UDT894LV.2,P1UDM3884.1,P1UDM3884.2,P1ULV4138.1,P1UDT895LV.1,P1UDT895LV.2,P1ULV7543.2,P1UDM3885.1,P1UDM3885.2,P1ULV4139.1,P1ULV4139.2,P1UDM3887.1,P1UDM3887.2,P1ULV4140.1,P1ULV4140.2,P1UDM3889.1,P1UDM3889.2,P1ULV7633.1,P1ULV7633.2,P1UDT896LV.1,P1UDT896LV.2,P1UDM3888.1,P1UDM3888.2,P1ULV4197.1,P1UDT909LV.1,P1UDT909LV.2,P1ULV4155.1,P1ULV4155.2,P1UDT942LV.1,P1UDT942LV.2,P1ULV4193.1,P1ULV4193.2,P1UDT943LV.1,P1UDT943LV.2,P1ULV4196.1,P1ULV4196.2,P1UDT1431LV.1,P1UDT1431LV.2,P1ULV7544.1,P1ULV7544.2,P1UDT1432LV.1,P1UDT1432LV.2,P1UDT1433LV.1,P1UDT1433LV.2,P1ULV7547.1,P1ULV7547.2,P1UDT908-P1UDT909X.2,P1UDT909.2,P1UDT1433-P1UDT882X.3,P1UDT882.3,P1UDT1432-P1UDT881X.2,P1UDT1432.2,P1UDT896-P1UDT938X.3,P1UDT896.3,P1UDT942.1,P1UDT942.2,P1UDT942.3,P1UDT907LV.1,P1UDT907LV.2,P1UDT907LV.3,P1ULV4153.1,P1ULV4153.3,P1UDT908LV.1,P1UDT908LV.2,P1UDT908LV.3,P1ULV4154.1,P1ULV4154.2,P1ULV4154.3,P1UDT907.1,P1UDT907.2,P1UDT907.3,P1UDT908.1,P1UDT908.2,P1UDT908.3,P1UDT893.1,P1UDT893.2,P1UDT893.3,P1UDT894.1,P1UDT894.2,P1UDT894.3,P1UDT1425LV.1,P1UDT1425LV.2,P1UDT1425LV.3,P1ULV7531.1,P1ULV7531.3,P1UDT881LV.1,P1UDT881LV.2,P1UDT881LV.3,P1UDT1425-P1UDT881X.1,P1UDT1425-P1UDT881X.2,P1UDT1425-P1UDT881X.3,P1UDT881.1,P1UDT881.2,P1UDT881.3,P1UDT1433.1,P1UDT1433.2,P1UDT1433.3,P1UDT1425.1,P1UDT1425.2,P1UDT1425.3,P1UDT883.1,P1UDT883.2,P1UDT883.3,P1UDT884.1,P1UDT884.2,P1UDT884.3,P1UDT1431.1,P1UDT1431.2,P1UDT1431.3,P1UDT1431-P1UDT895X.1,P1UDT1431-P1UDT895X.2,P1UDT1431-P1UDT895X.3,P1UDT894-P1UDT895X.1,P1UDT894-P1UDT895X.2,P1UDT894-P1UDT895X.3,P1UDT895.1,P1UDT895.2,P1UDT895.3,P1UDT894-P1UDT942X.1,P1UDT894-P1UDT942X.2,P1UDT894-P1UDT942X.3,P1UDT939LV.1,P1UDT939LV.2,P1UDT939LV.3,P1ULV4189.1,P1ULV4189.2,P1ULV4189.3,P1UDT938LV.1,P1UDT938LV.2,P1UDT938LV.3,P1ULV4188.1,P1ULV4188.2,P1ULV4188.3,P1UDT892LV.1,P1UDT892LV.2,P1UDT892LV.3,P1ULV4132.2,P1ULV4132.3,P1UDT938.1,P1UDT938.2,P1UDT938.3,P1UDT892.1,P1UDT892.2,P1UDT892.3,P1UDT943.1,P1UDT943.2,P1UDT943.3,P1UDT939.1,P1UDT939.2,P1UDT939.3
4/1/2018 7:00,-113.1689319,-125.8202063,-107.30553,0,0,0,0,2.42745556,2.425715554,0,0,0,0,0.765359566,0,0,0,0,0,0,1.302672128,0,0,0.685332197,0,0,0,0,1.36783351,0,0,4.091147341,0,0,0.484418525,0.484404562,0,0,0.600990848,0.60098213,0,0,0.147340963,0.143114053,0,0,0,0,0.742099709,0,0,0.638585261,0.638584617,0,0,1.42663283,1.451694216,0,0,6.345215666,6.341238479,0,0,2.653618393,2.653584418,0,0,0,0,0.057069792,0.057067684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14651692,10.14651897,0,0,0,1.369126673,1.369118383,1.369127008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2653232,15.26530655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.650609815,8.650568783,8.650623898,0,0,0,5.971332588,5.971314946,5.971339129,0,0,0,9.204624104,9.204633271,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:15,-120.3123388,-129.1343162,-111.6837859,0,0,0,0,3.446263387,3.447161419,0,0,0,0,0.941375525,0,0,0,0,0,0,1.441455272,0,0,0.683441227,0,0,0,0,1.434095333,0,0,4.122283309,0,0,0.488510357,0.488495511,0,0,0.60988846,0.609871099,0,0,0.253674629,0.248968425,0,0,0,0,0.68115941,0,0,0.470388912,0.470388637,0,0,1.41979169,1.450952965,0,0,6.490868471,6.485547038,0,0,2.221460679,2.221427397,0,0,0,0,0.062771896,0.062770146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18710126,10.18710541,0,0,0,1.312606999,1.312599054,1.312607391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17373484,15.17376023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090535236,9.090492841,9.090554091,0,0,0,6.030689146,6.030670846,6.030698135,0,0,0,10.89926987,10.89929169,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:30,-121.2338635,-131.5730401,-112.3682152,0,0,0,0,3.963386032,3.979649041,0,0,0,0,0.964503456,0,0,0,0,0,0,1.519657188,0,0,0.696951688,0,0,0,0,1.785146988,0,0,4.208272806,0,0,0.505168939,0.505168569,0,0,0.583989798,0.583992098,0,0,0.217213639,0.213480481,0,0,0,0,0.788949604,0,0,1.510671294,1.510671213,0,0,1.446883614,1.450183415,0,0,6.664942029,6.658092292,0,0,2.181254681,2.181253736,0,0,0,0,0.064120903,0.064120907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48307577,10.48307632,0,0,0,1.363003293,1.363003103,1.363003399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60717521,15.6071925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.886970615,8.886969432,8.886971424,0,0,0,6.188174631,6.188174168,6.188174606,0,0,0,11.32160203,11.32160307,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:45,-124.1850208,-130.0612727,-112.4773781,0,0,0,0,5.459221876,5.493772374,0,0,0,0,0.965110758,0,0,0,0,0,0,1.460608235,0,0,0.696162163,0,0,0,0,1.870090608,0,0,4.241358322,0,0,0.510324193,0.510323816,0,0,0.558902318,0.558909797,0,0,0.215576878,0.214755443,0,0,0,0,0.820727596,0,0,0.426048469,0.426048469,0,0,1.445695084,1.456380025,0,0,6.694452091,6.686118286,0,0,2.507830106,2.507828876,0,0,0,0,0.06399061,0.063990616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54516058,10.54516067,0,0,0,1.390763775,1.390763732,1.390763625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55619556,15.55621664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.549480211,8.54948041,8.549478754,0,0,0,6.131282699,6.13128289,6.131281231,0,0,0,11.26156935,11.26156823,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:00,-124.1108393,-129.1966839,-110.814556,0,0,0,0,6.587546777,6.640737231,0,0,0,0,1.009432043,0,0,0,0,0,0,1.552723139,0,0,0.726216289,0,0,0,0,2.060970835,0,0,4.469795881,0,0,0.538074474,0.538074074,0,0,0.603111075,0.603125391,0,0,0.223060405,0.225316957,0,0,0,0,0.793982662,0,0,0.950861909,0.950861899,0,0,1.502975368,1.458636169,0,0,7.014684655,7.005272345,0,0,2.571549025,2.571547617,0,0,0,0,0.083661791,0.083661797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07251847,11.07251822,0,0,0,1.367622341,1.367622626,1.367621809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03467955,16.03470622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.807522675,8.807524314,8.807518219,0,0,0,6.432185084,6.43218595,6.432181645,0,0,0,11.53614627,11.53614278,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:15,-128.9942654,-133.428677,-114.1032754,0,0,0,0,6.701976453,6.769992487,0,0,0,0,0.981498835,0,0,0,0,0,0,1.657870196,0,0,0.67049915,0,0,0,0,2.141656594,0,0,4.128311142,0,0,0.503637841,0.503637469,0,0,0.556493793,0.556513625,0,0,0.3357223,0.34077362,0,0,0,0,0.702310911,0,0,1.454646873,1.454646797,0,0,1.38536158,1.45600078,0,0,6.594672696,6.585353462,0,0,2.379001046,2.378999736,0,0,0,0,0.063535966,0.063535971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31339561,10.31339494,0,0,0,1.286061982,1.286062576,1.286061061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69511189,14.69513799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.109585635,8.109588479,8.109578158,0,0,0,5.958659262,5.958660685,5.958653949,0,0,0,10.16413207,10.16412691,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:30,-128.2150925,-129.6999536,-113.5631839,0,0,0,0,7.317966566,7.395569423,0,0,0,0,1.080753273,0,0,0,0,0,0,1.563071746,0,0,0.700680406,0,0,0,0,2.427801388,0,0,4.324224728,0,0,0.486454297,0.486454289,0,0,0.574454543,0.574451778,0,0,0.348864949,0.355900773,0,0,0,0,0.712801502,0,0,0.679633063,0.679633063,0,0,1.449436183,1.462354444,0,0,6.915231467,6.905433183,0,0,2.142197724,2.1421977,0,0,0,0,0.068278023,0.068278024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7731132,10.77311355,0,0,0,1.399862629,1.399862489,1.399862852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29493417,15.29493858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.488099881,8.488099237,8.488101335,0,0,0,6.268703365,6.268703039,6.268704248,0,0,0,11.27315134,11.27315231,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:45,-122.4946939,-125.2096786,-108.659066,0,0,0,0,6.940038916,7.02593154,0,0,0,0,1.097508248,0,0,0,0,0,0,1.405196701,0,0,0.704498625,0,0,0,0,2.283340517,0,0,4.36322639,0,0,0.436791292,0.436791283,0,0,0.577188867,0.577185874,0,0,0.350087081,0.357646751,0,0,0,0,0.691075081,0,0,0.468822861,0.468822861,0,0,1.454078315,1.46166059,0,0,6.96637319,6.956718369,0,0,2.28576165,2.285761623,0,0,0,0,0.068340809,0.06834081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82880385,10.82880421,0,0,0,1.31792408,1.31792393,1.317924314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3532786,15.35328308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.544143186,8.544142494,8.544144759,0,0,0,6.497283581,6.49728322,6.497284555,0,0,0,7.089868357,7.089868774,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 9:00,-123.9498563,-125.4051399,-108.7007157,0,0,0,0,7.91211126,8.03172088,0,0,0,0,1.161611256,0,0,0,0,0,0,1.440377023,0,0,0.7161505,0,0,0,0,2.488102181,0,0,4.459223648,0,0,0.443948257,0.443948248,0,0,0.574830496,0.574824178,0,0,0.352321104,0.366660834,0,0,0,0,0.715276183,0,0,0.519575953,0.519575953,0,0,1.484756282,1.477450268,0,0,7.125696588,7.114775543,0,0,2.660589558,2.660589524,0,0,0,0,0.07225366,0.07225366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01376625,11.01376697,0,0,0,1.305899667,1.305899394,1.305900169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60655155,15.60655771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.700414877,8.700413577,8.700418259,0,0,0,6.486939953,6.486939305,6.486942058,0,0,0,7.541554994,7.54155597,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 9:15,-128.0105448,-128.6674044,-108.5717789,0,0,0,0,9.2127781,9.36016794,0,0,0,0,1.153977677,0,0,0,0,0,0,1.437231832,0,0,0.705863959,0,0,0,0,1.51818424,0,0,4.424434071,0,0,0.437742082,0.437742072,0,0,0.566152855,0.566144484,0,0,0.694964749,0.71367795,0,0,0,0,0.712117163,0,0,1.559303708,1.559303709,0,0,1.461584677,1.484672736,0,0,7.072860592,7.061143233,0,0,2.672418398,2.672418365,0,0,0,0,0.071424916,0.071424916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86447437,10.86447537,0,0,0,1.350267492,1.350267158,1.35026821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39084224,15.39085021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.592473484,8.592471878,8.592478198,0,0,0,6.40424096,6.404240178,6.404243881,0,0,0,7.654015756,7.65401711,0,0,0,0,0,0,0,0,0,0,0,0
