Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3
4/1/2018 7:00,-6.10E-08,-2.094395168,2.094395032
4/1/2018 7:15,-6.16E-08,-2.094395168,2.094395033
4/1/2018 7:30,-6.22E-08,-2.094395169,2.094395034
4/1/2018 7:45,-6.14E-08,-2.094395172,2.094395035
4/1/2018 8:00,-5.98E-08,-2.094395171,2.094395038
4/1/2018 8:15,-5.79E-08,-2.094395171,2.09439504
4/1/2018 8:30,-5.65E-08,-2.094395171,2.094395041
4/1/2018 8:45,-5.64E-08,-2.094395171,2.094395042
4/1/2018 9:00,-5.45E-08,-2.094395169,2.094395043
4/1/2018 9:15,-5.32E-08,-2.094395169,2.094395045
4/1/2018 9:30,-5.22E-08,-2.09439517,2.094395047
4/1/2018 9:45,-5.01E-08,-2.09439517,2.09439505
4/1/2018 10:00,-4.78E-08,-2.094395169,2.094395054
4/1/2018 10:15,-4.64E-08,-2.09439517,2.094395057
4/1/2018 10:30,-4.48E-08,-2.094395169,2.094395059
4/1/2018 10:45,-4.39E-08,-2.094395169,2.094395061
4/1/2018 11:00,-4.28E-08,-2.094395169,2.094395062
4/1/2018 11:15,-4.24E-08,-2.094395169,2.094395063
4/1/2018 11:30,-4.27E-08,-2.094395169,2.094395062
4/1/2018 11:45,-4.25E-08,-2.094395168,2.094395062
4/1/2018 12:00,-4.23E-08,-2.094395169,2.094395062
4/1/2018 12:15,-4.14E-08,-2.094395169,2.094395063
4/1/2018 12:30,-4.18E-08,-2.094395167,2.094395063
4/1/2018 12:45,-4.10E-08,-2.094395167,2.094395064
4/1/2018 13:00,-4.14E-08,-2.094395167,2.094395063
4/1/2018 13:15,-4.20E-08,-2.094395168,2.094395062
4/1/2018 13:30,-4.25E-08,-2.094395169,2.094395062
4/1/2018 13:45,-4.30E-08,-2.09439517,2.094395061
4/1/2018 14:00,-4.32E-08,-2.09439517,2.094395061
4/1/2018 14:15,-4.34E-08,-2.094395171,2.09439506
4/1/2018 14:30,-4.35E-08,-2.09439517,2.09439506
4/1/2018 14:45,-4.40E-08,-2.094395169,2.094395058
4/1/2018 15:00,-4.51E-08,-2.094395169,2.094395057
4/1/2018 15:15,-4.55E-08,-2.094395169,2.094395056
4/1/2018 15:30,-4.46E-08,-2.094395167,2.094395056
4/1/2018 15:45,-4.55E-08,-2.094395167,2.094395054
4/1/2018 16:00,-4.64E-08,-2.094395166,2.094395052
