Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3,P1ULV4109.1,P1ULV4109.2,P1ULV4112.2,P1ULV4136.1,P1ULV4136.2,P1ULV4138.1,P1ULV7543.1,P1ULV4139.1,P1ULV4139.2,P1ULV4140.1,P1ULV4140.2,P1ULV7633.2,P1ULV4197.1,P1ULV4155.1,P1ULV4155.2,P1ULV4193.1,P1ULV4193.2,P1ULV4196.1,P1ULV4196.2,P1ULV7544.1,P1ULV7544.2,P1ULV7547.2,P1ULV4153.1,P1ULV4153.2,P1ULV4154.1,P1ULV4154.3,P1ULV7531.1,P1ULV7531.2,P1ULV7531.3,P1ULV4189.1,P1ULV4189.2,P1ULV4189.3,P1ULV4188.2,P1ULV4188.3,P1ULV4132.2
4/1/2018 7:00,7411.576184,7411.57612,7411.576147,121.7439305,121.7721082,122.5644425,123.035646,123.0886158,122.3004581,122.0418324,121.9958296,122.0918297,122.4736759,122.4979781,124.0537701,122.6730201,123.0627052,123.0903916,123.1052181,123.1862651,120.7359402,120.9977598,121.6608814,121.771742,122.7691767,275.2851826,275.2632755,278.9629494,278.9714125,274.1862001,274.0720732,274.1734596,277.060108,277.010457,277.0567643,276.9512159,277.001445,278.1719424
4/1/2018 7:15,7396.539342,7396.539283,7396.539321,121.4955228,121.5236444,122.2854598,122.7513297,122.8097317,122.1238672,121.770397,121.7042759,121.8014456,122.488632,122.5136672,124.6184379,122.4589041,122.8946636,122.9158568,123.0061513,123.3121519,120.4853504,120.753313,121.4876821,121.581836,122.5400234,274.6795951,274.6662125,278.3251434,278.3415848,273.4079262,273.3032431,273.4097593,276.3288486,276.2849344,276.3333097,276.3329602,276.3854317,275.7081627
4/1/2018 7:30,7409.857799,7409.857712,7409.85778,121.7183815,121.7465361,122.5099892,123.0020643,123.0622744,122.3013459,121.9893884,121.9195613,122.0169856,123.1063554,123.1315925,125.9696643,122.6740481,122.5986193,122.6596455,123.3901404,123.4967122,120.727025,120.9965963,121.6640554,121.7554419,122.7859637,275.1446851,275.1106961,278.6780316,278.7053856,273.6698152,273.5299543,273.6763174,276.956273,276.9117915,276.9691315,276.8234594,276.8851372,275.3439245
4/1/2018 7:45,7433.96047,7433.960391,7433.960466,122.1187707,122.1470097,122.9085606,123.4003088,123.4586092,122.6921772,122.3743153,122.3041861,122.4029205,123.921369,123.9469645,127.5727545,123.0975759,123.5534574,123.572692,123.9759623,123.7207589,121.1503404,121.4222257,121.8776042,121.9832486,123.2096217,276.0104443,275.9879072,279.4140959,279.4403332,274.5623331,274.4200891,274.5796143,277.9570484,277.9193314,277.9780522,277.7766723,277.8400109,276.5791851
4/1/2018 8:00,7464.390274,7464.390181,7464.390276,122.623349,122.6517045,123.383621,123.9022429,123.9619077,123.1838258,122.8616054,122.7917244,122.8920184,124.6908577,124.7162017,128.8517964,123.6458313,123.8078701,123.8459591,124.603899,123.891127,121.6589272,121.9333276,122.3145779,122.4197979,123.7950462,277.0951922,277.0648252,280.6531556,280.6890942,275.7231726,275.5661017,275.7508163,279.1231425,279.0867763,279.1514888,278.875362,278.9449257,278.4871773
4/1/2018 8:15,7384.790992,7384.79089,7384.791,121.3210266,121.3490637,122.0877357,122.5382265,122.60591,121.8471562,121.5524654,121.4794736,121.578709,123.5619087,123.5884293,128.0462008,122.3583358,122.1918124,122.2526478,123.3874493,123.8708074,120.3593972,120.635082,121.0091297,121.1132297,122.5053386,274.1022853,274.0659538,277.6396428,277.6840457,272.8188282,272.6544412,272.8523843,276.1638212,276.1291425,276.1974538,275.9130603,275.9862843,276.1301797
4/1/2018 8:30,7400.059752,7400.059661,7400.059762,121.5712273,121.5993194,122.3566491,122.8267917,122.8883042,122.0646022,121.8060745,121.7429788,121.8418557,123.9326481,123.958972,128.6293237,122.6206515,122.8639306,122.8925718,123.6903353,123.9441815,120.6076352,120.8849899,121.3718446,121.4625832,122.7849437,274.6781393,274.652013,278.138018,278.1749661,273.3943296,273.2369481,273.425035,276.7237743,276.6924325,276.7582804,276.4390579,276.5099451,275.9834672
4/1/2018 8:45,7395.675979,7395.675883,7395.675985,121.5012517,121.5293318,122.2684893,122.8216539,122.8769445,122.0186561,121.7393163,121.690063,121.7882021,123.8972694,123.9233016,128.6503552,122.5546099,122.8956576,122.9162301,123.6335349,123.953336,120.5343496,120.8123864,121.2465105,121.3426004,122.7166295,274.5168552,274.485552,278.0888222,278.1214576,273.2441301,273.0728422,273.2690134,276.5621192,276.5293138,276.5962848,276.1085737,276.1806776,280.1592187
4/1/2018 9:00,7355.7478,7355.747698,7355.747816,120.8489963,120.8769322,121.6152613,122.1551137,122.2105502,121.3344215,121.0759421,121.0288358,121.1269302,123.5788769,123.6051625,128.9329045,121.9269421,122.2061666,122.2282185,123.1181434,124.039752,119.9028092,120.180907,120.4712627,120.5800361,122.0613861,273.0641884,273.0307919,276.6268407,276.6649383,271.7694002,271.5891953,271.8021645,275.0588951,275.0298148,275.1005767,274.713881,274.7899286,278.3465231
4/1/2018 9:15,7392.709123,7392.709007,7392.70915,121.4617394,121.4898122,122.2310843,122.7672492,122.8235916,122.0883335,121.6754175,121.6302298,121.7293747,124.3435112,124.374682,130.0229187,122.5370517,122.2931445,122.3552837,123.8892588,124.2543915,120.5215093,120.8026727,121.0476787,121.1590424,122.6737549,274.4613617,274.4178395,277.9302117,277.9862107,273.127045,272.9420401,273.1797565,276.4318297,276.4038143,276.480784,276.0980103,276.1801927,279.5768343
4/1/2018 9:30,7390.235209,7390.235092,7390.235255,121.4261577,121.4542274,122.1793888,122.7247823,122.7818844,121.9230412,121.6100353,121.5410334,121.6430571,124.926859,124.9577017,131.7612389,122.5655925,122.38342,122.4353616,124.0965013,124.4995833,120.5143602,120.7977798,120.9818015,121.0951241,122.632508,274.4787892,274.4392377,277.86556,277.927291,273.0354715,272.8448787,273.1002047,276.3285327,276.3088549,276.3903118,275.8862348,275.9733613,279.3683007
4/1/2018 9:45,7443.326891,7443.32678,7443.326959,122.3036409,122.3318916,123.0504108,123.5499304,123.612109,122.7697121,122.4724078,122.4054149,122.5090634,126.5561654,126.5884185,134.8016662,123.5242251,123.6223816,123.6467803,125.257147,124.856943,121.4168538,121.7048789,121.9199216,122.0254454,123.5124321,276.5641428,276.5357646,279.9287425,279.9949147,274.9952919,274.80176,275.0713297,278.3039932,278.2952792,278.380449,278.0393903,278.1306373,281.0277471
4/1/2018 10:00,7412.283149,7412.283026,7412.283231,121.7976677,121.8258437,122.5275127,122.9751182,123.0459993,122.2521685,121.9509807,121.8873037,121.9913062,126.4420771,126.4757141,135.4365356,123.0491707,122.6705178,122.7284063,124.8935768,124.9636547,120.9271948,121.2159106,121.4241336,121.526666,122.9897606,275.49285,275.4576216,278.7441627,278.8253697,273.8465576,273.6460302,273.9370105,277.1385981,277.1338763,277.225156,276.8617694,276.9593093,279.9555761
4/1/2018 10:15,7375.418725,7375.418596,7375.418812,121.1956941,121.223716,121.909057,122.4112087,122.4746936,121.533621,121.3372762,121.2763809,121.3805032,126.2259011,126.2611357,135.9667275,122.4767132,122.2606019,122.3026631,124.4275089,125.0574843,120.2812776,120.5822169,120.6552364,120.7755673,122.465726,274.2087982,274.1721531,277.3462372,277.4263419,272.4872681,272.2711744,272.5810393,275.8263767,275.8248709,275.919685,275.4555408,275.5569336,278.028263
4/1/2018 10:30,7431.52871,7431.528584,7431.528808,122.1204067,122.1486483,122.8327456,123.3312657,123.396878,122.5856163,122.2519824,122.1921487,122.2977341,127.4321384,127.4688105,137.7243213,123.4313313,123.3870752,123.4141948,125.4634809,125.2415577,121.206136,121.5105506,121.5522556,121.6755653,123.3900252,276.2564193,276.2250846,279.4448722,279.5285316,274.5586894,274.3426604,274.6608276,278.0022264,278.0048954,278.1016497,277.544727,277.64827,280.3155948
4/1/2018 10:45,7406.737416,7406.737276,7406.73752,121.7153849,121.743553,122.4167858,122.8767524,122.9484513,122.1294774,121.8437006,121.7834574,121.8886457,127.234366,127.2721088,137.9309844,123.0423708,122.476473,122.5420643,125.1281469,125.2831902,120.8045026,121.109487,121.1269224,121.2514304,122.9709421,275.2772695,275.2362335,278.5040389,278.5999071,273.6389794,273.4158804,273.7510237,278.1276087,278.1312652,278.2324977,276.7452667,276.8538111,279.4217315
